large_foreign,internet_accessE,med_ageE,maj_race,total_popE
FALSE,2005,31.4,white,4071
TRUE,1094,29.4,no_majority,2300
TRUE,3493,31.7,white,7075
TRUE,1136,39.4,no_majority,2398
TRUE,2185,37,no_majority,4290
TRUE,1543,36.4,no_majority,3734
FALSE,1386,32.5,no_majority,3265
FALSE,917,20.6,no_majority,4126
TRUE,2223,33.4,no_majority,5978
FALSE,1869,42.6,white,4389
TRUE,1622,32.5,black,5137
FALSE,1965,44.1,white,5299
FALSE,2216,35.2,white,3621
FALSE,1537,36.2,no_majority,2809
TRUE,2102,30.2,black,6549
FALSE,1355,29.7,white,2334
TRUE,1958,29.9,no_majority,3935
TRUE,2298,31.3,black,5750
TRUE,2201,38.2,black,5978
FALSE,962,32.7,white,2295
TRUE,1292,32.3,black,4318
FALSE,1024,31.8,no_majority,2817
TRUE,965,35.1,no_majority,3165
TRUE,1495,35.1,latino,4612
TRUE,2383,35.2,no_majority,7524
FALSE,1603,31.7,white,3497
FALSE,1667,31.3,white,3655
FALSE,1376,43.3,white,2738
TRUE,1372,30.2,no_majority,3664
FALSE,1646,32.4,black,4151
TRUE,1376,34.8,black,4194
TRUE,969,30.9,black,3440
TRUE,2312,36.7,black,6179
TRUE,1808,35.8,no_majority,4909
FALSE,1212,51.8,white,2970
FALSE,2203,49.2,white,4934
TRUE,3070,40.9,black,8961
FALSE,1531,29.4,white,3991
TRUE,1782,30.3,white,5324
FALSE,1502,28.6,white,4272
FALSE,1168,29.6,white,2946
TRUE,2637,26.7,white,6658
FALSE,2008,40.8,white,3145
FALSE,1290,39.6,white,2463
FALSE,2075,33.4,white,4513
TRUE,986,37.4,latino,2472
TRUE,1781,35.1,no_majority,4871
FALSE,2425,31.7,white,5651
TRUE,917,29.4,no_majority,2615
FALSE,924,30.8,black,2616
TRUE,772,32.1,black,2599
TRUE,1612,32.6,no_majority,5048
TRUE,1655,36.8,white,5085
FALSE,1029,21.9,no_majority,4517
TRUE,2238,27.2,no_majority,4807
TRUE,1447,24.5,no_majority,3789
TRUE,1303,33.6,white,2967
TRUE,2350,34.8,no_majority,7178
FALSE,866,33.7,white,1973
TRUE,2239,35.1,no_majority,6667
TRUE,917,35.2,no_majority,2528
TRUE,975,38.2,no_majority,2720
FALSE,1792,39.9,no_majority,4532
FALSE,2211,42.6,white,5420
FALSE,708,42.3,white,1669
FALSE,1104,36.3,white,2210
FALSE,950,45.8,white,2726
FALSE,1839,33.9,white,3919
FALSE,1411,29.3,no_majority,3227
TRUE,2029,35.2,no_majority,5570
FALSE,2158,30.1,white,3691
FALSE,2570,37.5,white,5555
FALSE,2384,32.6,white,4356
TRUE,1815,31,black,5148
TRUE,812,27,black,2587
TRUE,1755,34.3,white,3884
TRUE,1096,36.1,no_majority,3265
TRUE,1303,34,black,4106
TRUE,1124,35.5,black,3850
FALSE,1766,44.9,white,4519
TRUE,1829,38.9,no_majority,5561
TRUE,2600,36.6,black,7519
FALSE,814,40.9,white,2158
TRUE,725,30.6,no_majority,2690
FALSE,2899,35.5,white,6519
TRUE,1064,34.5,white,2332
TRUE,1277,29.9,white,2007
TRUE,2525,32.5,white,4951
TRUE,977,24.8,no_majority,1963
TRUE,2314,27,no_majority,4906
TRUE,561,21.3,white,6100
TRUE,474,19.9,white,3677
FALSE,1617,23.7,white,4957
TRUE,2971,27.4,white,5377
TRUE,993,21.6,white,3592
TRUE,1962,32.2,white,2855
TRUE,1294,21,white,5223
FALSE,827,20.7,white,6038
TRUE,855,29.1,white,1392
FALSE,1365,29.9,white,2568
FALSE,1443,37.6,white,2610
FALSE,1652,35.6,white,2951
FALSE,1813,36.2,white,3106
FALSE,2624,34.8,white,4751
TRUE,1289,34.8,white,2160
FALSE,543,30.1,white,980
FALSE,2059,36.5,white,4311
FALSE,1332,35.9,white,2953
TRUE,2192,40.4,white,4380
TRUE,1958,32.4,latino,5564
TRUE,2221,38.2,no_majority,6784
TRUE,1963,38.1,white,5997
FALSE,1054,31.2,white,2447
FALSE,2867,40.6,white,6764
TRUE,1324,42.9,white,2448
TRUE,2788,38.6,white,7759
FALSE,3301,42.1,white,9070
FALSE,1640,43.8,white,4176
FALSE,1466,39.3,white,3738
FALSE,1921,43.7,white,4399
TRUE,1127,40.8,no_majority,3107
TRUE,808,30.5,black,2561
TRUE,995,31.5,black,3214
FALSE,2765,36.4,white,6572
TRUE,2709,29.9,white,5691
FALSE,297,20,white,5500
TRUE,1667,30.9,latino,5608
FALSE,826,31.3,black,2089
TRUE,1318,28.8,no_majority,3212
TRUE,1833,30.6,white,4088
TRUE,1098,35,no_majority,3106
TRUE,2228,31.7,black,6909
FALSE,1623,39.6,black,4556
TRUE,1439,38.5,no_majority,3550
TRUE,1160,32.8,black,3528
TRUE,1741,36,black,5347
TRUE,2201,30.6,black,7140
TRUE,929,40.3,no_majority,2475
FALSE,1342,29.7,white,3494
TRUE,1444,30,white,3996
FALSE,1038,28.8,white,1814
FALSE,1432,32.2,white,2488
TRUE,754,33,white,2042
TRUE,1867,32.3,latino,5663
TRUE,1172,36.4,no_majority,2490
TRUE,860,31.2,latino,2481
FALSE,2651,43.2,white,4461
FALSE,2932,35.1,white,5781
FALSE,2069,32.6,white,3577
TRUE,1442,25.2,white,3690
FALSE,1333,37.2,no_majority,2941
TRUE,1378,32,black,3489
TRUE,1239,26.3,black,3469
TRUE,1048,34.4,black,3392
TRUE,1324,34.9,latino,3212
TRUE,1249,29.4,latino,4120
TRUE,2233,39.2,no_majority,5882
FALSE,1662,22.3,white,5796
FALSE,1407,33.8,white,3063
TRUE,1247,35,white,2891
FALSE,2109,32.6,white,4317
TRUE,1825,27.7,asian,5622
FALSE,1207,34.4,black,3409
FALSE,1177,35.4,white,2559
TRUE,2352,35.9,no_majority,5326
TRUE,1380,35.4,black,3494
TRUE,1867,32.6,white,4758
TRUE,1763,34.5,black,5703
TRUE,1289,31.9,white,3469
TRUE,2191,26.6,white,4797
TRUE,1561,27,white,3522
FALSE,1501,30.3,white,2715
TRUE,746,29.9,latino,2351
TRUE,1358,42.9,white,3439
TRUE,2480,33.6,no_majority,6345
FALSE,1383,44.5,no_majority,4063
TRUE,915,31.9,no_majority,2185
FALSE,1071,39.3,no_majority,2754
TRUE,2304,30.6,latino,9062
TRUE,1827,33.9,latino,5477
TRUE,1794,32.8,latino,5297
TRUE,1547,36.8,latino,4723
TRUE,1782,34.7,latino,5513
TRUE,1720,42.9,white,3737
FALSE,1333,57.7,white,2546
TRUE,1826,40.8,white,5548
TRUE,928,41.6,white,2114
TRUE,2242,36.9,no_majority,6228
TRUE,2432,51.3,white,4788
FALSE,1199,44.9,white,3014
FALSE,0,49.4,no_majority,405
FALSE,0,46.5,no_majority,380
NA,0,NA,no_majority,0
NA,0,NA,no_majority,0
FALSE,124,35.8,no_majority,470
NA,0,NA,no_majority,0
FALSE,0,22.8,white,215
TRUE,237,37.5,white,400
NA,0,NA,no_majority,0
NA,0,NA,no_majority,0
NA,0,NA,no_majority,0
NA,0,NA,no_majority,0
TRUE,12,66.8,white,26
TRUE,12,24,latino,67
